,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,long,lat
339,381744,SSS CPW94 Summer 18 August,2018-08-30T09:00:00+00:00,2018-08-30T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
340,381744,SSS CPW94 Summer 18 August,2018-08-31T09:00:00+00:00,2018-08-31T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
341,381748,justus worldwide,2018-08-19T15:00:00+00:00,2018-08-19T19:00:00+00:00,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: W 10 St Performance Area,,,13,60,-73.9787857,40.5726046
342,381749,Celebration,2018-09-05T14:00:00+00:00,2018-09-05T16:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Cop Cot,,,64,22,-73.9765048,40.7669241
343,381754,Celebration,2018-09-06T14:00:00+00:00,2018-09-06T16:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Shakespeare Garden,,,64,22,-73.9700853,40.7797633
344,381772,Dance Safari,2018-09-01T17:00:00+00:00,2018-09-01T19:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park South: 59th - 72nd St Greenway,,,7,20,-73.9895416,40.7772489
345,381772,Dance Safari,2018-09-02T17:00:00+00:00,2018-09-02T19:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park South: 59th - 72nd St Greenway,,,7,20,-73.9895416,40.7772489
346,381776,Body Roll with VIVA,2018-09-04T18:00:00+00:00,2018-09-04T20:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park South: 66th Street Plaza,,,7,20,-73.9895416,40.7772489
347,381783,West Side County Fair,2018-09-08T12:00:00+00:00,2018-09-08T17:00:00+00:00,Parks Department,Special Event,Manhattan,"Riverside Park South: 70th Street Pier Plaza ,Riverside Park South: 68th Street Childrens Lawn ,Riverside Park South: Pier I Cafe",,,7,20,-73.9895416,40.7772489
348,381783,West Side County Fair,2018-09-09T12:00:00+00:00,2018-09-09T17:00:00+00:00,Parks Department,Special Event,Manhattan,"Riverside Park South: 70th Street Pier Plaza ,Riverside Park South: 68th Street Childrens Lawn ,Riverside Park South: Pier I Cafe",,,7,20,-73.9895416,40.7772489
349,381786,Celebration,2018-09-06T16:00:00+00:00,2018-09-06T18:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park: Soliders & Sailors Monument,,,7,24,-73.9790084,40.7919925
350,381789,Celebration,2018-09-07T18:00:00+00:00,2018-09-07T20:00:00+00:00,Parks Department,Special Event,Manhattan,West Harlem Piers: West Harlem Piers,,,9,26,-73.9610999,40.8194924
351,381801,East River Dance,2018-09-08T12:00:00+00:00,2018-09-08T19:00:00+00:00,Parks Department,Special Event,Manhattan,East River Park: Amphitheater,,,3,7,-73.9777869,40.7111166
352,381815,Celebration,2018-08-19T14:00:00+00:00,2018-08-19T16:00:00+00:00,Parks Department,Special Event,Manhattan,Fort Tryon Park: Billings Lawn,,,12,34,-73.9344866,40.8602314
353,381825,SSS CPE97 Summer 18 August,2018-08-13T09:00:00+00:00,2018-08-13T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
354,381825,SSS CPE97 Summer 18 August,2018-08-14T09:00:00+00:00,2018-08-14T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
