,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct
4392,419943,Outside recreation,2018-08-13T10:00:00+00:00,2018-08-13T18:00:00+00:00,Parks Department,Special Event,Staten Island,"Midland Field: I.S. 2 Hardtop Field/Parking Lot ,Midland Field: IS 2-Baseball-01 ,Midland Field: IS 2-Basketball-01 ,Midland Field: IS 2-Handball-01 ,Midland Field: IS 2-Softball-02",,,"02, 2",122
4393,419943,Outside recreation,2018-08-14T10:00:00+00:00,2018-08-14T18:00:00+00:00,Parks Department,Special Event,Staten Island,"Midland Field: I.S. 2 Hardtop Field/Parking Lot ,Midland Field: IS 2-Baseball-01 ,Midland Field: IS 2-Basketball-01 ,Midland Field: IS 2-Handball-01 ,Midland Field: IS 2-Softball-02",,,"02, 2",122
4394,419943,Outside recreation,2018-08-15T10:00:00+00:00,2018-08-15T18:00:00+00:00,Parks Department,Special Event,Staten Island,"Midland Field: I.S. 2 Hardtop Field/Parking Lot ,Midland Field: IS 2-Baseball-01 ,Midland Field: IS 2-Basketball-01 ,Midland Field: IS 2-Handball-01 ,Midland Field: IS 2-Softball-02",,,"02, 2",122
4395,419943,Outside recreation,2018-08-16T10:00:00+00:00,2018-08-16T18:00:00+00:00,Parks Department,Special Event,Staten Island,"Midland Field: I.S. 2 Hardtop Field/Parking Lot ,Midland Field: IS 2-Baseball-01 ,Midland Field: IS 2-Basketball-01 ,Midland Field: IS 2-Handball-01 ,Midland Field: IS 2-Softball-02",,,"02, 2",122
4396,419943,Outside recreation,2018-08-17T10:00:00+00:00,2018-08-17T18:00:00+00:00,Parks Department,Special Event,Staten Island,"Midland Field: I.S. 2 Hardtop Field/Parking Lot ,Midland Field: IS 2-Baseball-01 ,Midland Field: IS 2-Basketball-01 ,Midland Field: IS 2-Handball-01 ,Midland Field: IS 2-Softball-02",,,"02, 2",122
4397,419945,Block party,2018-08-25T11:00:00+00:00,2018-08-25T18:00:00+00:00,Street Activity Permit Office,Block Party,Manhattan,WEST 151 STREET between BROADWAY and RIVERSIDE DRIVE,Full,Full Street Closure,9,30
4398,419947,Outside recreation,2018-08-13T10:00:00+00:00,2018-08-13T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
4399,419947,Outside recreation,2018-08-14T10:00:00+00:00,2018-08-14T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
4400,419947,Outside recreation,2018-08-16T10:00:00+00:00,2018-08-16T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
4401,419947,Outside recreation,2018-08-17T10:00:00+00:00,2018-08-17T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
